Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 69, 1,    41810.6,   -0.1,    1.0495, 2,    41810.6, -120.1,    1.0495, 3,    41810.6,  119.9,    1.0495
"10", 13.8, 1,    8362.02,  -30.1,    1.0495, 2,    8362.02, -150.1,    1.0495, 3,    8362.02,   89.9,    1.0495
"20", 13.8, 1,    8348.09,  -30.1,    1.0478, 2,    8348.09, -150.1,    1.0478, 3,    8348.09,   89.9,    1.0478
"30", 13.8, 1,    8281.75,  -30.4,    1.0395, 2,    8281.75, -150.4,    1.0395, 3,    8281.75,   89.6,    1.0395
"40", 13.8, 1,    8247.54,  -30.5,    1.0352, 2,    8247.54, -150.5,    1.0352, 3,    8247.54,   89.5,    1.0352
"50", 13.8, 1,    8213.21,  -30.6,    1.0308, 2,    8213.21, -150.6,    1.0308, 3,    8213.21,   89.4,    1.0308
"60", 13.8, 1,    8142.16,  -31.0,    1.0219, 2,    8142.16, -151.0,    1.0219, 3,    8142.16,   89.0,    1.0219
"70", 13.8, 1,    8133.57,  -31.2,    1.0209, 2,    8133.57, -151.2,    1.0209, 3,    8133.57,   88.8,    1.0209
"80", 13.8, 1,    8063.44,  -31.6,    1.0121, 2,    8063.44, -151.6,    1.0121, 3,    8063.44,   88.4,    1.0121
"90", 13.8, 1,    8025.52,  -31.8,    1.0073, 2,    8025.52, -151.8,    1.0073, 3,    8025.52,   88.2,    1.0073
"100", 13.8, 1,    7991.38,  -31.9,     1.003, 2,    7991.38, -151.9,     1.003, 3,    7991.38,   88.1,     1.003
"110", 13.8, 1,    7985.75,  -32.0,    1.0023, 2,    7985.75, -152.0,    1.0023, 3,    7985.75,   88.0,    1.0023
"120", 13.8, 1,    7976.55,  -32.0,    1.0011, 2,    7976.55, -152.0,    1.0011, 3,    7976.55,   88.0,    1.0011
"130", 13.8, 1,    7946.55,  -32.2,   0.99738, 2,    7946.55, -152.2,   0.99738, 3,    7946.55,   87.8,   0.99738
"140", 13.8, 1,    7937.74,  -32.2,   0.99627, 2,    7937.74, -152.2,   0.99627, 3,    7937.74,   87.8,   0.99627
"150", 13.8, 1,    7930.03,  -32.3,    0.9953, 2,    7930.03, -152.3,    0.9953, 3,    7930.03,   87.7,    0.9953
"160", 13.8, 1,    7922.71,  -32.3,   0.99439, 2,    7922.71, -152.3,   0.99439, 3,    7922.71,   87.7,   0.99439
"170", 13.8, 1,    7914.31,  -32.4,   0.99333, 2,    7914.31, -152.4,   0.99333, 3,    7914.31,   87.6,   0.99333
"180", 13.8, 1,    7911.92,  -32.4,   0.99303, 2,    7911.92, -152.4,   0.99303, 3,    7911.92,   87.6,   0.99303
"190", 13.8, 1,    8345.75,  -30.2,    1.0475, 2,    8345.75, -150.2,    1.0475, 3,    8345.75,   89.8,    1.0475
"200", 13.8, 1,    8329.59,  -30.3,    1.0455, 2,    8329.59, -150.3,    1.0455, 3,    8329.59,   89.7,    1.0455
"210", 13.8, 1,    8326.66,  -30.3,    1.0451, 2,    8326.66, -150.3,    1.0451, 3,    8326.66,   89.7,    1.0451
"220", 13.8, 1,    8324.12,  -30.3,    1.0448, 2,    8324.12, -150.3,    1.0448, 3,    8324.12,   89.7,    1.0448
"230", 13.8, 1,    8264.79,  -30.5,    1.0373, 2,    8264.79, -150.5,    1.0373, 3,    8264.79,   89.5,    1.0373
"240", 13.8, 1,    8242.26,  -30.6,    1.0345, 2,    8242.26, -150.6,    1.0345, 3,    8242.26,   89.4,    1.0345
"250", 13.8, 1,    8231.02,  -30.6,    1.0331, 2,    8231.02, -150.6,    1.0331, 3,    8231.02,   89.4,    1.0331
"260", 13.8, 1,    8134.46,  -31.1,     1.021, 2,    8134.46, -151.1,     1.021, 3,    8134.46,   88.9,     1.021
"270", 13.8, 1,    8125.02,  -31.1,    1.0198, 2,    8125.02, -151.1,    1.0198, 3,    8125.02,   88.9,    1.0198
"280", 13.8, 1,    8094.86,  -31.3,     1.016, 2,    8094.86, -151.3,     1.016, 3,    8094.86,   88.7,     1.016
"290", 13.8, 1,    8075.79,  -31.4,    1.0136, 2,    8075.79, -151.4,    1.0136, 3,    8075.79,   88.6,    1.0136
"300", 13.8, 1,    8066.14,  -31.4,    1.0124, 2,    8066.14, -151.4,    1.0124, 3,    8066.14,   88.6,    1.0124
"310", 13.8, 1,    8052.29,  -31.5,    1.0106, 2,    8052.29, -151.5,    1.0106, 3,    8052.29,   88.5,    1.0106
"320", 13.8, 1,    8049.35,  -31.6,    1.0103, 2,    8049.35, -151.6,    1.0103, 3,    8049.35,   88.4,    1.0103
"330", 13.8, 1,    8047.73,  -31.6,    1.0101, 2,    8047.73, -151.6,    1.0101, 3,    8047.73,   88.4,    1.0101
