Linha;Trecho;Bus1;Bus2;Perda_kW;Perda_kvar
Line.linha_1;linha_1;10;20;6,241610859408742;2,348444733043652
Line.linha_10;linha_10;100;110;0,48549288290983533;0,6445938121394038
Line.linha_11;linha_11;110;120;0,680011140250368;0,5787596254190029
Line.linha_12;linha_12;120;130;1,8535653170304722;0,6586828603311633
Line.linha_13;linha_13;130;140;0,43753842442092716;0,21985271498425982
Line.linha_14;linha_14;140;150;0,3058427144719462;0,5219181647734895
Line.linha_15;linha_15;150;160;0,2174303248255601;0,6338370588677085
Line.linha_16;linha_16;160;170;0,16704109674252687;0,5680256205379215
Line.linha_17;linha_17;170;180;0,023721360546067445;0,7713703691134435
Line.linha_18;linha_18;20;190;0,10207419897332147;0,7815535201094284
Line.linha_19;linha_19;190;200;0,5272203164884122;0,4019467659690572
Line.linha_2;linha_2;20;30;26,48605251643248;12,61791019728447
Line.linha_20;linha_20;200;210;0,06381147828197573;0,8004575712840281
Line.linha_21;linha_21;210;220;0,02762422800563945;0,8379068453996825
Line.linha_22;linha_22;30;230;1,913208206107258;0,4437565403562214
Line.linha_23;linha_23;230;240;1,6962003268628614;0,47999235623473896
Line.linha_24;linha_24;240;250;0,42368459200218783;0,5243642023546713
Line.linha_25;linha_25;60;260;0,8773323584235041;0,3886966641200106
Line.linha_26;linha_26;260;270;0,9421797426449484;0,3541057100996468
Line.linha_27;linha_27;270;280;2,5849041988052486;1,4492999282744277
Line.linha_28;linha_28;280;290;1,365235618138162;0,3646315561956085
Line.linha_29;linha_29;290;300;0,5519912022115604;0,5406404198868708
Line.linha_3;linha_3;30;40;9,477747117897612;3,965197239106057
Line.linha_30;linha_30;300;310;0,5967562796879938;0,2296372034221008
Line.linha_31;linha_31;310;320;0,08454177014778542;0,7191672932573442
Line.linha_32;linha_32;320;330;0,023215872503147692;0,7811443469573963
Line.linha_4;linha_4;40;50;9,173229929391528;3,8174755007391097
Line.linha_5;linha_5;50;60;18,267572059679544;14,925747471067314
Line.linha_6;linha_6;60;70;1,1318835036219097;2,90602065772613
Line.linha_7;linha_7;70;80;8,58158710767352;5,365807970079908
Line.linha_8;linha_8;80;90;4,193199567321513;2,1961675722416714
Line.linha_9;linha_9;90;100;3,363964888931252;1,5752950878933707
