Bus;BasekV;Dist_km;pu1;pu2;pu3
10;13,8;0,0;1,0495;1,0495;1,0495
20;13,8;1,0;1,0478;1,0478;1,0478
190;13,8;2,0;1,0475;1,0475;1,0475
30;13,8;2,0;1,0395;1,0395;1,0395
200;13,8;3,0;1,0455;1,0455;1,0455
230;13,8;3,0;1,0373;1,0373;1,0373
40;13,8;3,0;1,0352;1,0352;1,0352
210;13,8;4,0;1,0451;1,0451;1,0451
240;13,8;4,0;1,0345;1,0345;1,0345
50;13,8;4,0;1,0308;1,0308;1,0308
220;13,8;5,0;1,0448;1,0448;1,0448
250;13,8;5,0;1,0331;1,0331;1,0331
60;13,8;5,0;1,0219;1,0219;1,0219
260;13,8;6,0;1,021;1,021;1,021
70;13,8;6,0;1,0209;1,0209;1,0209
270;13,8;7,0;1,0198;1,0198;1,0198
80;13,8;7,0;1,0121;1,0121;1,0121
280;13,8;8,0;1,016;1,016;1,016
90;13,8;8,0;1,0073;1,0073;1,0073
100;13,8;9,0;1,003;1,003;1,003
290;13,8;9,0;1,0136;1,0136;1,0136
110;13,8;10,0;1,0023;1,0023;1,0023
300;13,8;10,0;1,0124;1,0124;1,0124
120;13,8;11,0;1,0011;1,0011;1,0011
310;13,8;11,0;1,0106;1,0106;1,0106
130;13,8;12,0;0,99738;0,99738;0,99738
320;13,8;12,0;1,0103;1,0103;1,0103
140;13,8;13,0;0,99627;0,99627;0,99627
330;13,8;13,0;1,0101;1,0101;1,0101
150;13,8;14,0;0,9953;0,9953;0,9953
160;13,8;15,0;0,99439;0,99439;0,99439
170;13,8;16,0;0,99333;0,99333;0,99333
180;13,8;17,0;0,99303;0,99303;0,99303
