penetracao;barra;Vfund_faseA_abs;Vfund_faseB_abs;Vfund_faseC_abs;Vfund_faseA_pu_rel_BUS10;Vfund_faseB_pu_rel_BUS10;Vfund_faseC_pu_rel_BUS10
PEN_100;130;8848,53;8848,53;8848,53;1,0579202972711883;1,0579202972711883;1,0579202972711883
PEN_100;140;8888,64;8888,64;8888,64;1,0627158037704085;1,0627158037704085;1,0627158037704085
PEN_100;150;8924,84;8924,84;8924,84;1,06704383506614;1,06704383506614;1,06704383506614
PEN_100;160;8959,58;8959,58;8959,58;1,071197310403535;1,071197310403535;1,071197310403535
PEN_100;170;8998,34;8998,34;8998,34;1,0758314124207324;1,0758314124207324;1,0758314124207324
PEN_100;180;9009,73;9009,73;9009,73;1,0771931880135053;1,0771931880135053;1,0771931880135053
PEN_120;130;9035,43;9035,43;9035,43;1,0802503526936227;1,0802503526936227;1,0802503526936227
PEN_120;140;9086,3;9086,3;9086,3;1,0863322254369812;1,0863322254369812;1,0863322254369812
PEN_120;150;9132,32;9132,32;9132,32;1,09183424595299;1,09183424595299;1,09183424595299
PEN_120;160;9176,5;9176,5;9176,5;1,0971162812940867;1,0971162812940867;1,0971162812940867
PEN_120;170;9225,87;9225,87;9225,87;1,1030188182970277;1,1030188182970277;1,1030188182970277
PEN_120;180;9240,39;9240,39;9240,39;1,104754788264269;1,104754788264269;1,104754788264269
PEN_150;130;9320,88;9320,88;9320,88;1,1143859380641643;1,1143859380641643;1,1143859380641643
PEN_150;140;9388,64;9388,64;9388,64;1,1224871893583799;1,1224871893583799;1,1224871893583799
PEN_150;150;9450,15;9450,15;9450,15;1,1298412030405995;1,1298412030405995;1,1298412030405995
PEN_150;160;9509,3;9509,3;9509,3;1,1369130598005295;1,1369130598005295;1,1369130598005295
PEN_150;170;9575,49;9575,49;9575,49;1,1448266050066116;1,1448266050066116;1,1448266050066116
PEN_150;180;9594,99;9594,99;9594,99;1,147157986356039;1,147157986356039;1,147157986356039
